model,MRR,NDCG,NDCG@5,Precision,Recall,F1,P@5,R@5,F1@5
TF-IDF (1-gram),0.5021462105969148,0.4534363481113124,0.296851969138108,0.16789742212674544,0.3357948442534909,0.22386322950232723,0.24426559356136826,0.20828450233565135,0.211227297521845
TF-IDF (2-gram),0.49936284372904094,0.4524396795510355,0.29836854765121956,0.1706455315014565,0.341291063002913,0.2275273753352754,0.24828973843058352,0.21234554360414784,0.21538001426403044
Word2Vec,0.4054661301140174,0.37695240602826896,0.23106922287001078,0.13030503404722404,0.2606100680944481,0.1737400453962987,0.193158953722334,0.16200750871141636,0.16451482996947736
TF-IDF + Word2Vec,0.5023809523809524,0.45439355203713727,0.2981657305792975,0.17429073185983068,0.34858146371966137,0.2323876424797742,0.24909456740442656,0.21556859956732877,0.21647215250911733
GloVe,0.35409121395036885,0.32888976560690353,0.19362504304543407,0.10618113442560125,0.2123622688512025,0.14157484590080166,0.16136820925553322,0.129714754693575,0.1341012598922286
TF-IDF + GloVe,0.4078806170355466,0.3596757001806144,0.22523307134667817,0.12005521012457367,0.24011042024914733,0.16007361349943156,0.1875251509054326,0.148997241594933,0.15552334038202809
Sentence-BERT,0.39936284372904096,0.36320168674981984,0.22719979110066726,0.12597907831281757,0.25195815662563514,0.16797210441709012,0.18832997987927563,0.1625200660941421,0.16362005716958966
Sentence-RoBERTa,0.4023138832997988,0.37219168901807054,0.22651767049905777,0.1306925933209953,0.2613851866419906,0.1742567910946604,0.1891348088531187,0.15524109569698896,0.16158501736956987
LaBSE,0.4154594232059021,0.3969994126476171,0.24619743429796534,0.14013040229682186,0.2802608045936437,0.18684053639576248,0.21247484909456743,0.17701803973380803,0.18198859839103781
USE,0.3827632461435278,0.34715227577761254,0.21468517027504944,0.11559061974184286,0.2311812394836857,0.15412082632245716,0.18148893360160967,0.14617370051554104,0.15281232960559696
MPNet,0.43873239436619715,0.3724470302358079,0.24404349148512836,0.13353340594948135,0.2670668118989627,0.17804454126597513,0.20603621730382296,0.17502832365958493,0.180619556664059
